Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22069	-	0	0	0	0	0	0	12	72	0	0	0	0	0	0	0	1	0	0	92	124	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	10	0	7	1	0	1	0	0	70	0	0	0	0	0	0	0	0	0	0	58	987	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	7	0	32	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	69	206	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4115	5	0	12	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	59	152	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10762	9	0	16	0	0	0	1	0	22	0	0	1	0	0	0	0	1	0	0	82	209	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	7	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	97	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	6	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	43	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4191	6	0	21	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	56	124	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	7	0	14	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	81	174	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	6	0	12	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	41	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	6	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	42	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5419	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	60	99	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5134	6	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	53	98	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5578	7	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	71	119	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	24	0	61	0	0	0	0	0	85	0	0	0	0	0	0	0	1	0	0	582	716	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3035	6	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	55	92	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	8	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	118	145	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	3	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	46	73	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18251	9	0	15	0	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	190	205	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	8	0	9	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	142	175	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	6	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	57	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4553	5	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	62	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3877	5	0	7	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	50	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	6	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	64	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	5	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	52	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	5	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	50	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	29149	10	0	17	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	241	223	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18574	9	0	12	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	138	121	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	4809	5	0	5	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	53	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSInfectiousContact.json	3980	4	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	50	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3970	4	0	25	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	65	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17750	8	0	13	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	180	131	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	5	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	40	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6282	6	0	5	1	0	0	0	0	50	0	0	1	0	0	0	0	0	0	0	71	84	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15912	6	0	47	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	151	134	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4416	2	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	70	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7193	4	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	81	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18837	4	0	15	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	170	142	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5372	3	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	49	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	17472	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	187	146	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3744	3	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	48	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5274	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	46	58	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSPatientAnimal.json	5029	3	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	51	62	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	27970	6	0	25	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	216	213	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3128	2	0	11	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7082	3	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	85	77	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4164	3	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	39	47	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7583	3	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	84	82	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSSocialHistory.json	2555	3	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	7550	3	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	69	74	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	3949	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	40	55	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstanceUse.json	4248	3	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	50	113	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2275	2	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	2057	3	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	53	0	0	0	1	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	3301	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabOrder.md	746	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/obligationsLabReport.md	1060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-intro.md	1322	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/howto.md	8792	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-notes.md	1816	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSMedicationStatement-intro.md	398	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseDispensation.md	4029	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCasePatientSummary.md	1649	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCasePrescription.md	3374	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/knownIssues.md	128	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseHospitalDischargeReport.md	1131	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSDischargeReport-intro.md	952	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabReport.md	1663	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/scope.md	1974	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/useCaseMedicalImages.md	1011	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	299	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	3705	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/wow.md	1067	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/24px.svg	234	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	26041	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
