"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSAllergyIntolerance","EHDSAllergyIntolerance","","","",0,*,"","","","null {[]} {[]}
","Allergy Intolerance","C.21 - EHDS refined base model for Allergy Intolerance","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSAllergyIntolerance.identifier","EHDSAllergyIntolerance.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","C.21.1 - Identifier","Appointment identifier","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.identifier",0,*,"",""
"EHDSAllergyIntolerance.allergyDescription","EHDSAllergyIntolerance.allergyDescription","","","",0,1,"","","","Narrative {[]} {[]}
","C.21.2 - Allergy description","Textual description of the allergy or intolerance","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.allergyDescription",0,1,"",""
"EHDSAllergyIntolerance.typeOfPropensity","EHDSAllergyIntolerance.typeOfPropensity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.21.3 - Type of propensity","This element describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.typeOfPropensity",0,1,"",""
"EHDSAllergyIntolerance.allergyManifestation","EHDSAllergyIntolerance.allergyManifestation","","","",0,*,"","","","BackboneElement {[]} {[]}
","C.21.4 - Allergy manifestation","Description of the clinical manifestation of the allergic reaction including date of manifestation and severity. Example: anaphylactic shock, angioedema (the clinical manifestation also gives information about the severity of the observed reaction). Multiple manifestations could be provided.","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.allergyManifestation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSAllergyIntolerance.allergyManifestation.id","EHDSAllergyIntolerance.allergyManifestation.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"EHDSAllergyIntolerance.allergyManifestation.extension","EHDSAllergyIntolerance.allergyManifestation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"EHDSAllergyIntolerance.allergyManifestation.modifierExtension","EHDSAllergyIntolerance.allergyManifestation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"EHDSAllergyIntolerance.allergyManifestation.date","EHDSAllergyIntolerance.allergyManifestation.date","","","",0,1,"","","","dateTime {[]} {[]}
","C.21.4.1 - Date","Date and time of allergy manifestation","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.allergyManifestation.date",0,1,"",""
"EHDSAllergyIntolerance.allergyManifestation.severity","EHDSAllergyIntolerance.allergyManifestation.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.21.4.2 - Severity ","Severity of the clinical manifestation of the allergic reaction.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.allergyManifestation.severity",0,1,"",""
"EHDSAllergyIntolerance.allergyManifestation.description","EHDSAllergyIntolerance.allergyManifestation.description","","","",0,1,"","","","Narrative {[]} {[]}
","C.21.4.3 - Description","Description of the event as a whole","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.allergyManifestation.description",0,1,"",""
"EHDSAllergyIntolerance.allergyManifestation.manifestation","EHDSAllergyIntolerance.allergyManifestation.manifestation","","","",1,*,"","","","CodeableConcept {[]} {[]}
","C.21.4.4 - Manifestation","Clinical symptoms/signs associated with the Event","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.allergyManifestation.manifestation",1,*,"",""
"EHDSAllergyIntolerance.criticality","EHDSAllergyIntolerance.criticality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.21.5 - Criticality","Potential risk for future life-threatening adverse reactions when exposed to a substance known to cause an adverse reaction.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.criticality",0,1,"",""
"EHDSAllergyIntolerance.onsetDate","EHDSAllergyIntolerance.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","C.21.6 - Onset date","Date of onset of allergy, e.g., date of the first observation of the reaction. Partial date could be used. or life period (childhood, adolescence).","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.onsetDate",0,1,"",""
"EHDSAllergyIntolerance.onsetLifePeriod","EHDSAllergyIntolerance.onsetLifePeriod","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.21.7 - Onset life period","Date of onset of allergy, e.g., date of the first observation of the reaction expressed usingor life period (childhood, adolescence, etc.).","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.onsetLifePeriod",0,1,"",""
"EHDSAllergyIntolerance.endDate","EHDSAllergyIntolerance.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","C.21.8 - End date","Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.endDate",0,1,"",""
"EHDSAllergyIntolerance.endDateLifePeriod","EHDSAllergyIntolerance.endDateLifePeriod","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.21.9 - End date life period","Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition) exprssed using life period (childhood, … )","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.endDateLifePeriod",0,1,"",""
"EHDSAllergyIntolerance.status","EHDSAllergyIntolerance.status","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.21.10 - Status","Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, and so on …","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.status",0,1,"",""
"EHDSAllergyIntolerance.certainty","EHDSAllergyIntolerance.certainty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.21.11 - Certainty","Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and/or clinical evidence of condition.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAllergyIntolerance.certainty",0,1,"",""
"EHDSAllergyIntolerance.agentOrAllergen","EHDSAllergyIntolerance.agentOrAllergen","","","",1,1,"","","","CodeableConcept {[]} {[]}
","C.21.12 - Agent or Allergen","A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.","","","","","","","","","",,"preferred","SNOMED CT, ATC, (IDMP / EMA SPOR SMS)","","",,,,"EHDSAllergyIntolerance.agentOrAllergen",1,1,"",""
