"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSAddress","EHDSAddress","EHDSAddress","","","",0,*,"","","","null {[]} {[]}
","Address model","EHDS refined base model for Address structure","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSAddress","EHDSAddress.use","EHDSAddress.use","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Purpose of the address","Purpose of the address","","","","","","","","","",,"preferred","HL7 AddressUse","","",,,,"EHDSAddress.use",0,1,"",""
"EHDSAddress","EHDSAddress.type","EHDSAddress.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.","Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.","","","","","","","","","",,"preferred","HL7 AddressType","","",,,,"EHDSAddress.type",0,1,"",""
"EHDSAddress","EHDSAddress.text","EHDSAddress.text","","","",0,1,"","","","string {[]} {[]}
","Text representation of the address","Text representation of the address","","","","","","","","","",,,,,"",,,,"EHDSAddress.text",0,1,"",""
"EHDSAddress","EHDSAddress.street","EHDSAddress.street","","","",0,1,"","","","string {[]} {[]}
","Name of the street","Name of the street","","","","","","","","","",,,,,"",,,,"EHDSAddress.street",0,1,"",""
"EHDSAddress","EHDSAddress.houseNumber","EHDSAddress.houseNumber","","","",0,1,"","","","string {[]} {[]}
","House number","House number","","","","","","","","","",,,,,"",,,,"EHDSAddress.houseNumber",0,1,"",""
"EHDSAddress","EHDSAddress.postBox","EHDSAddress.postBox","","","",0,1,"","","","string {[]} {[]}
","Post box","Post box","","","","","","","","","",,,,,"",,,,"EHDSAddress.postBox",0,1,"",""
"EHDSAddress","EHDSAddress.city","EHDSAddress.city","","","",0,1,"","","","string {[]} {[]}
","City","City","","","","","","","","","",,,,,"",,,,"EHDSAddress.city",0,1,"",""
"EHDSAddress","EHDSAddress.postalCode","EHDSAddress.postalCode","","","",0,1,"","","","string {[]} {[]}
","Postal code","Postal code","","","","","","","","","",,,,,"",,,,"EHDSAddress.postalCode",0,1,"",""
"EHDSAddress","EHDSAddress.country","EHDSAddress.country","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Country name and country code","Country name and country code","","","","","","","","","",,"preferred","ISO 3166-1 alpha-2","","",,,,"EHDSAddress.country",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage","EHDSAdministeredDosage","","","",0,*,"","","","null {[]} {[]}
","Administered dosage model","Administered dosage model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.renderedDosageInstruction","EHDSAdministeredDosage.renderedDosageInstruction","","","",0,1,"","","","string {[]} {[]}
","Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.","Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.","","","","","","","","","",,,,,"",,,,"EHDSDosage.renderedDosageInstruction",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails","EHDSAdministeredDosage.dosageDetails","","","",0,1,"","","","Base {[]} {[]}
","Details of single dosage scheme step","Details of single dosage scheme step","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails",0,*,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.sequence","EHDSAdministeredDosage.dosageDetails.sequence","","","",0,0,"","","","integer {[]} {[]}
","Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.","Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.sequence",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.note","EHDSAdministeredDosage.dosageDetails.note","","","",0,1,"","","","string {[]} {[]}
","Patient oriented instructions as free text for this dosage step","Patient oriented instructions as free text for this dosage step","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.note",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.doseAndRate","EHDSAdministeredDosage.dosageDetails.doseAndRate","","","",0,*,"","","","Base {[]} {[]}
","Amount of medication administered per one dose (= one timing)","Amount of medication administered per one dose (= one timing)","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.doseAndRate",0,*,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.doseAndRate.dose[x]","EHDSAdministeredDosage.dosageDetails.doseAndRate.dose[x]","","","",0,1,"","","","Quantity {[]} {[]}
Range {[]} {[]}","Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)","Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)","","","","","","","","","",,"preferred","UCUM (units of measurement), EDQM Standard Terms (units of presentation)","","",,,,"EHDSDosage.dosageDetails.doseAndRate.dose[x]",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.doseAndRate.rate[x]","EHDSAdministeredDosage.dosageDetails.doseAndRate.rate[x]","","","",0,1,"","","","Quantity {[]} {[]}
Ratio {[]} {[]}","Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).","Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).","","","","","","","","","",,"preferred","UCUM (units of measurement), EDQM Standard Terms (units of presentation)","","",,,,"EHDSDosage.dosageDetails.doseAndRate.rate[x]",0,1,"",""
